Username,Comment
@kajallandgetajane4749,Rani is such a underrated dancer..  i find her more enthusiastic and pretty than Madhuri ..Always❤
@lipasahoo1359,Ea  gana  2024 kn sunurhahe
@vikaskumarsinghjanakpur,Sushant singh rajput इस गाने में है
@anutyagi4770,Hritik roshan better than 6feet
@anutyagi4770,My hurt song
@enengwindasri7180,Klo udah nnton film2 india yg paling aku suka tuh dance sama lagu2nya dan artis2 bollywoodnya jago2 dancenya
@mdzahid2151,2024 sun raha hui 🥰🖐️
@ramaarora3694,2024 and still grooving to this!
@ayushisharma-rg4sl,anyone else ancing on this masterpiece in their imagination??? 😍😍
@brucewayne7252,Rani❤
@katherinea.hinojosahuarach7835,2024 🎉😅
@ShivvySamaroo,The best dancer to wear heels in all her movie songs to dance❤❤❤ either high boots or heels ☺️❤❤❤
@kundan_yadav_india,"Isi song ke naam per dance reality show ""Nach baliye"" bana hai Star plus per aata hai"
@Rajendiran-zb2tu,"From 4:56 2 t end t dance was a 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥

Both abhishek & rani 💃🕺💃🕺💃🕺💃🕺💃🕺💃& also t group dancers wow

Choreographer was awsome"
@Nk12278,no other actress can match her ❤❤
@TanishaBartwal-s9v,Rani 's dance 🔥
@Mr.Viraj1,"7 th  classes dance
miss you school day ❤😢"
@shikha5311,Abhishek bacchan ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
@rhythmgarg9525,"Focus on the male background dancers, they are really enjoying"
@b4gjodx178,4:48
@TurRiyyah,Seandainya berjodoh
@juisaha9530,These songs are another level vibe👀
@AnujChaudhary-o6k,2024 main kon kon dekh rha hai 🫡
@Tha.anshu81,Kon kon 2024 me dekh raha hai 😂
@soumenchatterjee35098,Rani Mukherjee looked stunning in white.
@nimishakhan8271,"Who put my girl Rani in that blue strapless top? It's Shiamak Davar's choreography, instead of giving her costume with ample support you gave this atrocious top! Rani smashed the choreo DESPITE this."
@prithvibanerjee5155,Again another Absolute Gem of a song which was way ahead of its time... The energy it still creates in todays date is unmatched and yeah Shiamak Davars superb choreography is to credit Abhishek and Ranis sizzling burn the dance floor performance 🎉
@somonnitaacharya4371,Rani 😮❤
@Thatonlyone678,Tackiest blue I have ever seen 😳 🤢
@kanojiyasagarkanojiyasagar130,2024 wale  ajao yaha par
@easilymanifest922,Who spotted Sushant singh Rajput.. Behind abhishek right side.. 0:51 onwards
@EktaRai-j3r,N̤i̤c̤e̤ ❤❤❤❤❤❤❤😊😊😊😊😊😊😊😮😮😮😮😮😮😮😮😮
@monikaverma2004,March 2024
@JankiDubey-z6w,1.15 dance up😊
@obsession7313,I just revisited it after 16 yrs.  coz  I remembered our Anual Day Dance  back then. ❤
